anime_id,Name,Score,Genres,Episodes_Count,Status,Licensors,Source,Duration,Rating,Rank,class,Episodes
34445,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,7.68,"Drama, Fantasy",6,Finished Airing,Sentai Filmworks,Original,24 min per ep,PG-13 - Teens 13 or older,1193,0,Short
34449,The Reflection,5.11,Action,12,Finished Airing,Funimation,Original,25 min per ep,PG-13 - Teens 13 or older,11763,0,Short
34451,Kekkai Sensen & Beyond,7.79,"Action, Comedy, Fantasy",12,Finished Airing,Funimation,Manga,24 min per ep,R - 17+ (violence & profanity),942,0,Short
34494,Sakura Quest,7.39,"Comedy, Slice of Life",25,Finished Airing,Funimation,Original,23 min per ep,PG-13 - Teens 13 or older,2109,0,Short
34497,Death March kara Hajimaru Isekai Kyousoukyoku,6.46,"Adventure, Fantasy",12,Finished Airing,Funimation,Light novel,23 min per ep,PG-13 - Teens 13 or older,6581,0,Short
34498,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",6.09,"Romance, Sci-Fi",1,Finished Airing,NYAV Post,Other,1 hr 30 min,PG-13 - Teens 13 or older,8437,0,Short
34501,Kenka Banchou Otome: Girl Beats Boys,6.43,Action,12,Finished Airing,Funimation,Visual novel,8 min per ep,PG-13 - Teens 13 or older,6693,0,Short
34504,Seitokai Yakuindomo Movie,7.83,Comedy,1,Finished Airing,Sentai Filmworks,4-koma manga,1 hr,R - 17+ (violence & profanity),866,0,Short
34525,Centaur no Nayami,6.43,"Fantasy, Slice of Life",12,Finished Airing,Funimation,Manga,23 min per ep,R+ - Mild Nudity,6734,0,Short
34537,Yoru wa Mijikashi Arukeyo Otome,8.19,"Comedy, Romance",1,Finished Airing,GKIDS,Novel,1 hr 32 min,R+ - Mild Nudity,369,1,Short
34540,Pokemon Movie 20: Kimi ni Kimeta!,7.11,"Action, Adventure, Comedy",1,Finished Airing,The Pokemon Company International,Game,1 hr 38 min,PG - Children,3497,0,Short
34541,Mary to Majo no Hana,7.26,"Adventure, Fantasy",1,Finished Airing,GKIDS,Book,1 hr 42 min,G - All Ages,2734,0,Short
34543,Dive!!,6.08,"Comedy, Sports",12,Finished Airing,Sentai Filmworks,Novel,22 min per ep,PG-13 - Teens 13 or older,8462,0,Short
34549,Ryuu no Haisha,7.36,"Adventure, Fantasy",2,Finished Airing,Sentai Filmworks,Original,46 min per ep,PG-13 - Teens 13 or older,2230,0,Short
34565,Jikan no Shihaisha,6.3,"Action, Supernatural",13,Finished Airing,Funimation,Manga,24 min per ep,PG-13 - Teens 13 or older,7396,0,Short
34566,Boruto: Naruto Next Generations,6.06,"Action, Adventure, Fantasy",293,Finished Airing,VIZ Media,Manga,23 min per ep,PG-13 - Teens 13 or older,8551,0,Long
34572,Black Clover,8.14,"Action, Comedy, Fantasy",170,Finished Airing,Funimation,Manga,23 min per ep,PG-13 - Teens 13 or older,418,1,Long
34599,Made in Abyss,8.66,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",13,Finished Airing,Sentai Filmworks,Web manga,25 min per ep,R - 17+ (violence & profanity),62,1,Short
34604,UQ Holder! Mahou Sensei Negima! 2 OVA,7.19,"Action, Fantasy, Sci-Fi",3,Finished Airing,Sentai Filmworks,Manga,22 min per ep,PG-13 - Teens 13 or older,3069,0,Short
34618,Blend S,7.27,Comedy,12,Finished Airing,Aniplex of America,4-koma manga,23 min per ep,PG-13 - Teens 13 or older,2689,0,Short
34620,Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,6.58,"Drama, Sci-Fi",26,Finished Airing,Funimation,Visual novel,23 min per ep,PG-13 - Teens 13 or older,5905,0,Short
34636,Ballroom e Youkoso,8.18,Sports,24,Finished Airing,Ponycan USA,Manga,24 min per ep,PG-13 - Teens 13 or older,370,1,Short
34644,Brave Witches: Petersburg Daisenryaku,6.98,"Action, Sci-Fi, Ecchi",1,Finished Airing,Funimation,Original,26 min,R+ - Mild Nudity,4055,0,Short
34662,Fate/Apocrypha,7.19,"Action, Fantasy, Supernatural",25,Finished Airing,Aniplex of America,Light novel,23 min per ep,R - 17+ (violence & profanity),3086,0,Short
34792,Yoake Tsugeru Lu no Uta,7.39,"Adventure, Award Winning, Supernatural",1,Finished Airing,NYAV Post,Original,1 hr 51 min,G - All Ages,2116,0,Short
34800,Action Heroine Cheer Fruits,6.52,"Comedy, Slice of Life",12,Finished Airing,Sentai Filmworks,Original,24 min per ep,PG-13 - Teens 13 or older,6262,0,Short
34820,Mazinger Z Movie: Infinity,6.87,"Action, Comedy, Sci-Fi",1,Finished Airing,VIZ Media,Manga,1 hr 35 min,PG-13 - Teens 13 or older,4532,0,Short
34822,Tsuki ga Kirei,8.06,Romance,12,Finished Airing,Funimation,Original,24 min per ep,PG-13 - Teens 13 or older,505,1,Short
34825,Keppeki Danshi! Aoyama-kun,6.96,"Comedy, Sports",12,Finished Airing,Ponycan USA,Manga,23 min per ep,PG-13 - Teens 13 or older,4133,0,Short
34834,Hina Logi: From Luck & Logic,6.64,"Action, Comedy, Fantasy",12,Finished Airing,Funimation,Card game,23 min per ep,PG-13 - Teens 13 or older,5654,0,Short
34839,Sanrio Danshi,6.68,Drama,12,Finished Airing,Ponycan USA,Mixed media,24 min per ep,PG-13 - Teens 13 or older,5451,0,Short
34863,Zoku Touken Ranbu: Hanamaru,7.3,"Action, Comedy, Drama, Fantasy, Slice of Life",12,Finished Airing,Funimation,Game,24 min per ep,PG-13 - Teens 13 or older,2525,0,Short
34881,Aho Girl,6.75,"Comedy, Romance",12,Finished Airing,Discotek Media,4-koma manga,12 min per ep,PG-13 - Teens 13 or older,5061,0,Short
34884,Keijo!!!!!!!! Specials,6.46,"Comedy, Ecchi",6,Finished Airing,Funimation,Manga,3 min per ep,PG-13 - Teens 13 or older,6548,0,Short
34902,Tsurezure Children,7.56,"Comedy, Romance",12,Finished Airing,Funimation,4-koma manga,12 min per ep,PG-13 - Teens 13 or older,1525,0,Short
34914,New Game!!,7.71,Comedy,12,Finished Airing,Funimation,4-koma manga,24 min per ep,PG-13 - Teens 13 or older,1124,0,Short
34933,Kakegurui,7.24,"Drama, Mystery",12,Finished Airing,Sentai Filmworks,Manga,24 min per ep,R - 17+ (violence & profanity),2852,0,Short
34934,Koi to Uso,6.5,"Drama, Romance",12,Finished Airing,Sentai Filmworks,Web manga,24 min per ep,PG-13 - Teens 13 or older,6399,0,Short
34964,Killing Bites,6.56,"Action, Sci-Fi, Ecchi",12,Finished Airing,Sentai Filmworks,Manga,24 min per ep,R+ - Mild Nudity,6038,0,Short
