Episodes,Licensors,Source,Rating,Action,Scifi,Adventure,Drama,Mystery,Supernatural,Fantasy,Sports,Comedy,Romance,Suspense,Ecchi,Horror,Slice of Life,Girls Love,Boys Love,class
Medium,Geneon_Entertainment_USA,Game,PG-13_Teens_13_or_older,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Short,Discotek_Media,Novel,R-17+,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
Short,ADV_Films,Manga,PG-13_Teens_13_or_older,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Short,Anime_Midstream,Manga,PG-13_Teens_13_or_older,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Short,Funimation,Manga,PG-13_Teens_13_or_older,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Medium,Nelvana,Manga,PG _Children,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Short,Nozomi_Entertainment,Visual_novel,PG-13_Teens_13_or_older,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Short,Funimation,Light_novel,PG-13_Teens_13_or_older,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Short,Bandai_Entertainment,Manga,PG-13_Teens_13_or_older,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Short,Sentai_Filmworks,Original,G_All_Ages,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Short,ADV_Films,Original,R+_Mild_Nudity,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Short,ADV_Films,Original,PG-13_Teens_13_or_older,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Short,Bandai_Entertainment,Manga,PG _Children,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Short,Media_Blasters,Manga,PG-13_Teens_13_or_older,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Short,Funimation,Manga,PG-13_Teens_13_or_older,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Short,Bandai_Entertainment,Original,PG-13_Teens_13_or_older,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Short,Geneon_Entertainment_USA,Manga,R-17+,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
Short,Geneon_Entertainment_USA,4-koma_manga,G_All_Ages,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Short,Geneon_Entertainment_USA,Original,PG-13_Teens_13_or_older,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
